Variable	Description	Mapping
Wall	Household - Principal wall material	"1: ""Bamboo/cane/straw"", 2: ""Rudimentary walls (mud) or mixed with mud"", 3: ""Tin wall"", 4: ""Bricks, cement blocks, concrete Walls"", 5: ""Wood"""
Roof	Household - Principal roofing material	"1: ""Natural material (straw)"", 2: ""Rudimentary roofing (polythene or mixed with mud)"", 3: ""Finished roof (concrete)"", 4: ""Tin roof"" "
Electrct	Household - Electricity	"1: ""Yes"", 2: ""No"""
Gas	Household - Cooking gas	"1: ""Yes"", 2: ""No"""
Mobile	Household - Telephone/mobile	"1: ""Yes"", 2: ""No"""
Almeria	Household - Almeria	"1: ""Yes"", 2: ""No"""
Table	Household - Table	"1: ""Yes"", 2: ""No"""
Chair	Household - Chair	"1: ""Yes"", 2: ""No"""
Bench	Household - Bench	"1: ""Yes"", 2: ""No"""
Clock	Household - Watch or clock	"1: ""Yes"", 2: ""No"""
Bed	Household - Cot or bed	"1: ""Yes"", 2: ""No"""
Radio	Household - Working Radio	"1: ""Yes"", 2: ""No"""
TV	Household - Working TV	"1: ""Yes"", 2: ""No"""
Bicycle	Household - Bicycle	"1: ""Yes"", 2: ""No"""
Bike	Household - Motorcycle	"1: ""Yes"", 2: ""No"""
SMachine	Household - Sewing machine	"1: ""Yes"", 2: ""No"""
Fan	Household - Fan	"1: ""Yes"", 2: ""No"""
ReadNews	Reads the newspaper	"1: ""Regular"", 2: ""Irregularly"", 3: ""No"""
Radio_TV	Listens to/watches Radio/TV	"1: ""Regular"", 2: ""Irregularly"", 3: ""No"""
Social_M	Uses social media	"1: ""Regular"", 2: ""Irregularly"", 3: ""No"""
Dr_Water	Principal source of household drinking water	"1: ""Municipality supply/piped water"", 2: ""Own arrangement by pump"", 3: ""Tube well"", 4: ""Well/Pond/Canal"""
Toilet	Principal type of toilet facility used by household members	"1: ""Septic tank or toilet"", 2: ""Water-sealed or slab latrine"", 3: ""Pit latrine"", 4: ""Open latrine"", 5: ""Hanging latrine"", 6: ""Bush, field as latrine"""
Food	Household food availability	"1: ""Deficit in whole year"", 2: ""Sometimes deficit"", 3: ""Neither deficit nor surplus"", 4: ""Surplus"""
BFIAGENT	Washing - agent used before feeding child	"1: ""Water"", 2: ""Mud"", 3: ""Ash"", 4: ""Soap"", 5: ""Other"", 9: ""None"""
BFIHOW	Washing - method used before feeding child	"1: ""Left hand"", 2: ""Right hand"", 3: ""Both hands"", 9: ""None"""
BFISoW	Washing - source of water used before feeding child	"1: ""Municipality supply/piped water"", 2: ""Own arrangement by pump"", 3: ""Tube well"", 4: ""Well/Pond/Canal"", 9: ""None"""
BEAGENT	Washing - agent used before eating	"1: ""Water"", 2: ""Mud"", 3: ""Ash"", 4: ""Soap"", 5: ""Other"", 9: ""None"""
BEHOW	Washing - method used before eating	"1: ""Left hand"", 2: ""Right hand"", 3: ""Both hands"", 9: ""None"""
BE_SoW	Washing - source of water used before eating	"1: ""Municipality supply/piped water"", 2: ""Own arrangement by pump"", 3: ""Tube well"", 4: ""Well/Pond/Canal"", 9: ""None"""
ADAGENT	Washing - agent used after defecating	"1: ""Water"", 2: ""Mud"", 3: ""Ash"", 4: ""Soap"", 5: ""Other"", 9: ""None"""
ADHOW	Washing - method used after defecating	"1: ""Left hand"", 2: ""Right hand"", 3: ""Both hands"", 9: ""None"""
ADSoW	Washing - source of water used after defecating	"1: ""Municipality supply/piped water"", 2: ""Own arrangement by pump"", 3: ""Tube well"", 4: ""Well/Pond/Canal"", 9: ""None"""
BCDAGENT	Washing - agent used before cleaning child’s dishes	"1: ""Water"", 2: ""Mud"", 3: ""Ash"", 4: ""Soap"", 5: ""Other"", 9: ""None"""
BCDHOW	Washing - method used before cleaning child’s dishes	"1: ""Left hand"", 2: ""Right hand"", 3: ""Both hands"", 9: ""None"""
BCDSoW	Washing - source of water used before cleaning child’s dishes	"1: ""Municipality supply/piped water"", 2: ""Own arrangement by pump"", 3: ""Tube well"", 4: ""Well/Pond/Canal"", 9: ""None"""
ACAAGENT	Washing - agent used after cleaning child’s anus	"1: ""Water"", 2: ""Mud"", 3: ""Ash"", 4: ""Soap"", 5: ""Other"", 9: ""None"""
ACAHOW	Washing - method used after cleaning child’s anus	"1: ""Left hand"", 2: ""Right hand"", 3: ""Both hands"", 9: ""None"""
ACASoW	Washing - source of water used after cleaning child’s anus	"1: ""Municipality supply/piped water"", 2: ""Own arrangement by pump"", 3: ""Tube well"", 4: ""Well/Pond/Canal"", 9: ""None"""
Water_TM	Water treatment method	"1: ""None"", 2: ""Let it stand & settle"", 3: ""Water filter"", 4: ""Solar disinfection"", 5: ""Boil"", 6: ""Strain through cloth"", 7: ""Add bleach/Chlorine"""
Toilet_F	Toilet facility shared with other households	"1: ""Yes"", 2: ""No"""
Fre_Nail	Frequency of nail cutting of mother	"1: ""Once in a week"", 2: ""Twice a month"", 3: ""Once a month"", 4: ""Once in quarter"""
Cook_Plc	Place for cooking for household	"1: ""Inside house"", 2: ""Separate building"", 3: ""Outdoors"", 4: ""Other"""
C_Fuel	Type of cooking fuel	"1: ""Gas"", 2: ""Electric stove"", 3: ""Wood"", 4: ""Kerosene oil stove"", 5: ""Animal dung"", 6: ""Garments products"""
Drain	Open drain beside house	"1: ""Yes"", 2: ""No"""
